"item_category";"count"
"1.6.2.1";277
"1.1.2.1";167
"1.2.2.1";147
"1.12.4.5";134
"1.6.2.2";123
"1.1.2.2";121
"8.1.4.2";118
"1.6.2.4";117
"1.4.2.3";99
"1.4.2.2";98
"4.2.1.1";96
"1.4.2.4";92
"1.1.4.1";90
"1.5.2.1";88
"1.6.2.3";84
"1.8.3.1";76
"1.4.2.1";76
"1.1.4.4";75
"8.1.2.3";74
"1.10.3.2";71
"1.8.3.5";71
"1.4.1.4";68
"1.13.1.2";67
"1.1.2.5";65
"1.1.3.2";63
"4.2.8.1";63
"1.5.1.1";63
"1.5.2.4";59
"1.4.1.5";59
"1.1.3.1";57
"1.1.2.4";55
"8.1.3.3";53
"8.2.5.2";53
"1.9.2.5";51
"1.10.3.3";50
"8.1.2.5";46
"1.1.2.3";46
"8.2.2.2";46
"8.1.1.3";44
"1.4.1.1";44
"1.7.1.1";44
"1.14.1.1";44
"1.1.4.2";43
"8.1.2.4";40
"1.2.2.5";39
"1.4.4.3";38
"4.1.5.1";36
"1.4.9.2";35
"1.4.1.2";34
"1.15.1.2";34
"1.3.3.5";31
"4.1.2.1";30
"4.2.10.2";30
"8.2.2.1";30
"1.1.2.6";28
"1.4.1.13";28
"8.2.3.2";27
"1.4.2.6";27
"1.2.2.6";27
"1.2.2.2";26
"1.9.2.1";26
"4.1.1.1";25
"1.5.3.7";25
"1.8.3.2";25
"1.11.2.1";24
"1.5.2.3";23
"4.2.4.5";23
"1.11.3.4";23
"4.2.4.2";23
"1.9.1.2";23
"4.1.12.9";23
"4.2.2.1";22
"1.13.1.1";22
"1.2.1.1";21
"4.2.2.3";21
"1.12.4.1";21
"1.2.2.4";21
"4.2.4.1";19
"4.2.3.3";19
"1.3.1.1";19
"1.2.1";18
"1.12.1.2";18
"4.1.1.2";18
"1.11.2.4";18
"1.15.1.1";17
"1.1.1.2";17
"1.11.1.1";17
"1.12.3.2";17
"1.13.8.1";17
"8.1.3.4";16
"4.1.8.1";16
"1.1.1.1";16
"1.11.5.3";16
"8.1.4.1";16
"1.7.1.4";15
"4.2.1.3";15
"1.11.2.2";15
"8.1.2.2";15
"4.1.12.1";15
"4.2.1.2";14
"4.2.10.1";14
"4.1.5.4";14
"4.2.10.4";14
"1.13.12.1";14
"4.2.3.2";13
"1.4.2.5";13
"1.10.3.1";13
"1.4.1.6";13
"1.9.2.3";13
"1.5.2.2";13
"8.2.3.3";12
"4.2.11.1";12
"4.2.16.1";12
"1.7.1.3";12
"1.3.3.8";12
"1.10.1.2";12
"1.13.4.1";12
"1.2.3.1";12
"1.3.3.4";12
"4.2.13.1";12
"1.6.1.2";12
"8.2.4.2";11
"1.9.1.1";11
"8.2.4.1";11
"1.10.3.4";11
"1.8.2.4";11
"1.5.3.8";11
"1.8.3.3";11
"1.9.3.2";11
"8.1.1.4";11
"4.2.2.2";11
"1.11.2.3";10
"1.4.3.7";10
"4.2.15.1";10
"8.2.5.1";10
"1.7.1.2";10
"1.11.2.8";10
"1.4.4.1";10
"1.2.4.2";10
"1.4.4.14";10
"4.1.10.1";10
"4.1.1.3";10
"1.4.3.6";9
"1.4.10.3";9
"1.13.2.1";9
"1.3.3.2";9
"4.1.3.2";9
"1.4.1.7";9
"8.2.4.7";9
"4.2.18.1";8
"8.1.1.2";8
"8.2.4.4";8
"8.1.3.2";8
"1.5.1.2";8
"1.4.1.8";8
"8.1.3.5";8
"4.2.3.4";8
"1.5.2.5";8
"4.1.4.3";8
"1.9.2.7";8
"4.2.12.1";8
"8.2.3.1";7
"1.4.4.2";7
"4.2.6.2";7
"1.5.3.1";7
"4.2.3.1";7
"1.11.3.1";7
"1.1.4.3";7
"1.8.3.4";7
"1.2.4.1";7
"1.12.2.4";7
"1.15.1.3";7
"1.6.1.1";7
"1.11.2.5";7
"1.10.3.5";7
"8.2.2.3";7
"1.1.1.4";6
"1.8.3.6";6
"1.4.9.4";6
"1.8.2.1";6
"8.1.6.1";6
"4.1.5.2";6
"4.2.12.3";6
"4.2.4.4";6
"1.11.3.3";6
"4.1.2.8";6
"1.4.4.5";6
"4.1.4.1";6
"1.4.6.4";6
"1.13.7.1";6
"1.10.2.2";6
"4.2.5.3";5
"1.3.3.6";5
"4.2.4.3";5
"1.4.1.3";5
"6.1.1.2";5
"1.12.1.4";5
"4.2.14.2";5
"8.2.4.9";5
"1.11.1.2";5
"4.1.2.6";5
"4.2.6.1";5
"4.2.8.3";5
"8.2.4.8";5
"8.2.5.3";5
"1.11.5.1";5
"8.2.1.6";5
"4.2.11.2";5
"1.12.1.3";5
"1.12.4.2";5
"4.2.6.3";5
"4.1.7.1";5
"4.1.12.5";5
"4.2.12.4";5
"8.2.3.6";4
"1.4.5.3";4
"1.4.6.1";4
"1.11.4.1";4
"8.1.3.1";4
"8.2.1.7";4
"1.9.3.1";4
"1.3.3.1";4
"1.11.2.7";4
"1.5";4
"4.2.9.2";4
"4.1.2.11";4
"1.9.4.1";4
"8.1.5.1";4
"4.1.4.4";4
"1.10.1.5";4
"4.1.6.3";4
"4.1.3.1";4
"1.4.3.2";4
"4.2.1.7";4
"1.12.2.1";4
"4.1.3.5";4
"4.2.7.4";4
"1.11.2.6";3
"1.3.1.2";3
"1.13.10.1";3
"1.4.8.1";3
"4.2.17.1";3
"8.1.1.5";3
"1.3.4.5";3
"4.2.2.4";3
"1.9.2.2";3
"1.3.3.3";3
"1.5.3.9";3
"6.3.1.2";3
"4.2.8.2";3
"8.2.2.5";3
"4.1.12.6";3
"1.9.2.6";3
"4.1.2.3";3
"1.1.1.5";3
"8.2.1.1";3
"4.2.4.7";3
"8.2.4.5";3
"4.2.6.4";3
"8.2.5.4";3
"4.2.2.5";3
"4.2.5.2";3
"1.12.4.4";3
"4.1.12.7";3
"1.4.6.3";3
"8.2.4.3";3
"1.13.5.1";3
"4.3.1.1";3
"6.1.1.1";3
"4.2.7.1";3
"4.1.2.4";3
"4.2.12.2";3
"4.2.18.2";3
"1.9.5.1";2
"4.1.5.5";2
"4.1.13.1";2
"4.1.12.3";2
"8.1.2.6";2
"1.3.3.7";2
"1.4.7.5";2
"1.11.4.2";2
"1.4.7.1";2
"4.2.9.1";2
"4.1.12.2";2
"1.5.3.2";2
"1.13.9.1";2
"1.8.2.2";2
"4.1.6.1";2
"1.8.3.7";2
"1.7.1.5";2
"1.14.2.2";2
"6.1.1.3";2
"1.4.3.1";2
"1.11.3.2";2
"4.2.8.4";2
"1.4.10.2";2
"4.2.13.2";2
"4.2.13.4";2
"8.1.1.1";2
"4.2.1.5";2
"1.3.2.1";2
"4.1.6.4";2
"1.14.2.1";2
"8.2.1.2";2
"1.4.9.3";2
"1.4.6.2";2
"8.1.3.6";2
"4.2.5.4";2
"1.4.3.5";2
"1.4.1.15";2
"1.4.10.4";2
"1.11.6.2";2
"1.12.3.4";2
"1.4.4.15";2
"1.14.1.2";2
"8.1.7.1";2
"4.2.9.3";2
"1.13.3.1";2
"1.12.4.3";1
"1.11.5.2";1
"1.10.2.1";1
"8.2.4.6";1
"1.4.10.1";1
"1.9.2.4";1
"6.1.2.2";1
"4.2.5.5";1
"4.2.11.3";1
"1.5.3.5";1
"2.1.1.3";1
"1.13.6.1";1
"4.1.8.2";1
"6.1.2.1";1
"1.4.5.1";1
"1.3.4.2";1
"1.5.3.3";1
"1.3.4.3";1
"4.1.12.10";1
"4.2.10.3";1
"6.2.3.1";1
"6.3.1.1";1
"8.1.6.5";1
"6.2.4.1";1
"8.1.1.6";1
"4.2.9.4";1
"4.1.12.4";1
"8.1.6.4";1
"8.2.6.1";1
"1.8.1.1";1
"1.2.1.2";1
"6.5.1.1";1
"1.4.5.2";1
"1.3.1.5";1
"1.5.3.4";1
"4.1.6.2";1
"1.12.2.2";1
"6.4.1.1";1
"1.9.3.3";1
"7.1.1.1";1
"1.12.2.5";1
"4.1.2.10";1
"8.2.6.2";1
"8.2.1.4";1
"4.2.5.1";1
"4.1.2.2";1
"6.2.4.2";1
"4.1.9.1";1
"4.2.7.3";1
"1.8.2.3";1
"4.2.7.2";1
"4.1.2.9";1
"8.1.2.1";1
"1.4.9.1";1
"1.4.4.7";1
"4.2.7.5";1
"4.2.4.6";1
"6.2.1.1";1
"1.4.4.11";1
